metadata.robotTeam,startingZone.start1.avg,startingZone.start2.avg,startingZone.start3.avg,pickupLocation.source1.avg,pickupLocation.source2.avg,pickupLocation.ground1.avg,pickupLocation.ground2.avg,pickupLocation.ground3.avg,placement.deposit1.avg,placement.deposit2.avg,placement.deposit3.avg,placement.deposit4.avg,placement.deposit5.avg,placement.deposit6.avg,climb.park.avg,climb.shallow.avg,climb.deep.avg,autoScoreRightReef.avg,autoScoreLeftReef.avg,autoCoral.L1.min,autoCoral.L1.max,autoCoral.L1.avg,autoCoral.L1.std,autoCoral.L1.min.drop1,autoCoral.L1.max.drop1,autoCoral.L1.avg.drop1,autoCoral.L1.std.drop1,autoCoral.L1.min.drop2,autoCoral.L1.max.drop2,autoCoral.L1.avg.drop2,autoCoral.L1.std.drop2,autoCoral.L2.min,autoCoral.L2.max,autoCoral.L2.avg,autoCoral.L2.std,autoCoral.L2.min.drop1,autoCoral.L2.max.drop1,autoCoral.L2.avg.drop1,autoCoral.L2.std.drop1,autoCoral.L2.min.drop2,autoCoral.L2.max.drop2,autoCoral.L2.avg.drop2,autoCoral.L2.std.drop2,autoCoral.L3.min,autoCoral.L3.max,autoCoral.L3.avg,autoCoral.L3.std,autoCoral.L3.min.drop1,autoCoral.L3.max.drop1,autoCoral.L3.avg.drop1,autoCoral.L3.std.drop1,autoCoral.L3.min.drop2,autoCoral.L3.max.drop2,autoCoral.L3.avg.drop2,autoCoral.L3.std.drop2,autoCoral.L4.min,autoCoral.L4.max,autoCoral.L4.avg,autoCoral.L4.std,autoCoral.L4.min.drop1,autoCoral.L4.max.drop1,autoCoral.L4.avg.drop1,autoCoral.L4.std.drop1,autoCoral.L4.min.drop2,autoCoral.L4.max.drop2,autoCoral.L4.avg.drop2,autoCoral.L4.std.drop2,teleCoral.L1.min,teleCoral.L1.max,teleCoral.L1.avg,teleCoral.L1.std,teleCoral.L1.min.drop1,teleCoral.L1.max.drop1,teleCoral.L1.avg.drop1,teleCoral.L1.std.drop1,teleCoral.L1.min.drop2,teleCoral.L1.max.drop2,teleCoral.L1.avg.drop2,teleCoral.L1.std.drop2,teleCoral.L2.min,teleCoral.L2.max,teleCoral.L2.avg,teleCoral.L2.std,teleCoral.L2.min.drop1,teleCoral.L2.max.drop1,teleCoral.L2.avg.drop1,teleCoral.L2.std.drop1,teleCoral.L2.min.drop2,teleCoral.L2.max.drop2,teleCoral.L2.avg.drop2,teleCoral.L2.std.drop2,teleCoral.L3.min,teleCoral.L3.max,teleCoral.L3.avg,teleCoral.L3.std,teleCoral.L3.min.drop1,teleCoral.L3.max.drop1,teleCoral.L3.avg.drop1,teleCoral.L3.std.drop1,teleCoral.L3.min.drop2,teleCoral.L3.max.drop2,teleCoral.L3.avg.drop2,teleCoral.L3.std.drop2,teleCoral.L4.min,teleCoral.L4.max,teleCoral.L4.avg,teleCoral.L4.std,teleCoral.L4.min.drop1,teleCoral.L4.max.drop1,teleCoral.L4.avg.drop1,teleCoral.L4.std.drop1,teleCoral.L4.min.drop2,teleCoral.L4.max.drop2,teleCoral.L4.avg.drop2,teleCoral.L4.std.drop2,autoAlgae.netRobot.min,autoAlgae.netRobot.max,autoAlgae.netRobot.avg,autoAlgae.netRobot.std,autoAlgae.netRobot.min.drop1,autoAlgae.netRobot.max.drop1,autoAlgae.netRobot.avg.drop1,autoAlgae.netRobot.std.drop1,autoAlgae.netRobot.min.drop2,autoAlgae.netRobot.max.drop2,autoAlgae.netRobot.avg.drop2,autoAlgae.netRobot.std.drop2,autoAlgae.processor.min,autoAlgae.processor.max,autoAlgae.processor.avg,autoAlgae.processor.std,autoAlgae.processor.min.drop1,autoAlgae.processor.max.drop1,autoAlgae.processor.avg.drop1,autoAlgae.processor.std.drop1,autoAlgae.processor.min.drop2,autoAlgae.processor.max.drop2,autoAlgae.processor.avg.drop2,autoAlgae.processor.std.drop2,autoAlgae.remove.min,autoAlgae.remove.max,autoAlgae.remove.avg,autoAlgae.remove.std,autoAlgae.remove.min.drop1,autoAlgae.remove.max.drop1,autoAlgae.remove.avg.drop1,autoAlgae.remove.std.drop1,autoAlgae.remove.min.drop2,autoAlgae.remove.max.drop2,autoAlgae.remove.avg.drop2,autoAlgae.remove.std.drop2,teleAlgae.netRobot.min,teleAlgae.netRobot.max,teleAlgae.netRobot.avg,teleAlgae.netRobot.std,teleAlgae.netRobot.min.drop1,teleAlgae.netRobot.max.drop1,teleAlgae.netRobot.avg.drop1,teleAlgae.netRobot.std.drop1,teleAlgae.netRobot.min.drop2,teleAlgae.netRobot.max.drop2,teleAlgae.netRobot.avg.drop2,teleAlgae.netRobot.std.drop2,teleAlgae.processor.min,teleAlgae.processor.max,teleAlgae.processor.avg,teleAlgae.processor.std,teleAlgae.processor.min.drop1,teleAlgae.processor.max.drop1,teleAlgae.processor.avg.drop1,teleAlgae.processor.std.drop1,teleAlgae.processor.min.drop2,teleAlgae.processor.max.drop2,teleAlgae.processor.avg.drop2,teleAlgae.processor.std.drop2,teleAlgae.remove.min,teleAlgae.remove.max,teleAlgae.remove.avg,teleAlgae.remove.std,teleAlgae.remove.min.drop1,teleAlgae.remove.max.drop1,teleAlgae.remove.avg.drop1,teleAlgae.remove.std.drop1,teleAlgae.remove.min.drop2,teleAlgae.remove.max.drop2,teleAlgae.remove.avg.drop2,teleAlgae.remove.std.drop2,autoScore.min,autoScore.max,autoScore.avg,autoScore.std,autoScore.min.drop1,autoScore.max.drop1,autoScore.avg.drop1,autoScore.std.drop1,autoScore.min.drop2,autoScore.max.drop2,autoScore.avg.drop2,autoScore.std.drop2,teleScore.min,teleScore.max,teleScore.avg,teleScore.std,teleScore.min.drop1,teleScore.max.drop1,teleScore.avg.drop1,teleScore.std.drop1,teleScore.min.drop2,teleScore.max.drop2,teleScore.avg.drop2,teleScore.std.drop2,endgameScore.min,endgameScore.max,endgameScore.avg,endgameScore.std,endgameScore.min.drop1,endgameScore.max.drop1,endgameScore.avg.drop1,endgameScore.std.drop1,endgameScore.min.drop2,endgameScore.max.drop2,endgameScore.avg.drop2,endgameScore.std.drop2,totalScore.min,totalScore.max,totalScore.avg,totalScore.std,totalScore.min.drop1,totalScore.max.drop1,totalScore.avg.drop1,totalScore.std.drop1,totalScore.min.drop2,totalScore.max.drop2,totalScore.avg.drop2,totalScore.std.drop2,fouls.avg,break.avg,Percent of Matches with No Defense,Percent of Matches with Some Defense,Percent of Matches with Full Defense,Main Defense Type
4.0,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,2,0.5714285714285714,0.7867957924694431,0,1,0.4,0.5477225575051661,0,1,0.3333333333333333,0.5773502691896258,0,2,0.42857142857142855,0.7867957924694431,0,1,0.2,0.447213595499958,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.2857142857142857,0.4879500364742666,0,1,0.2,0.4472135954999579,0,0,0.0,0.0,0,3,2.2857142857142856,1.1126972805283735,2,3,2.6,0.5477225575051662,2,3,2.6666666666666665,0.5773502691896257,0,6,4.428571428571429,2.0701966780270626,4,6,5.0,0.7071067811865476,5,5,5.0,0.0,3,3,3.0,0.0,3,3,3.0,0.0,3,3,3.0,0.0,6,26,18.285714285714285,6.600865744084527,15,22,19.2,3.420526275297414,16,22,19.666666666666668,3.214550253664319,0,2,1.4285714285714286,0.9759000729485332,0,2,1.6,0.8944271909999159,2,2,2.0,0.0,11,29,22.714285714285715,6.395683067879607,19,27,23.8,3.96232255123179,20,27,24.333333333333332,3.785938897200183,0.14285714285714285,0.0,1.0,0.0,0.0,No Defense 
114.0,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0,1,0.14285714285714285,0.37796447300922725,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.14285714285714285,0.37796447300922725,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.42857142857142855,0.5345224838248488,0,1,0.4,0.5477225575051661,0,1,0.3333333333333333,0.5773502691896258,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.42857142857142855,0.5345224838248488,0,1,0.4,0.5477225575051661,0,1,0.3333333333333333,0.5773502691896258,0,3,1.1428571428571428,1.0690449676496976,0,2,1.0,0.7071067811865476,1,1,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.14285714285714285,0.37796447300922725,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.14285714285714285,0.37796447300922725,0,0,0.0,0.0,0,0,0.0,0.0,0,3,1.5714285714285714,0.9759000729485332,1,2,1.6,0.5477225575051661,1,2,1.6666666666666667,0.5773502691896257,3,10,4.428571428571429,2.699206232527312,3,6,3.6,1.3416407864998738,3,3,3.0,0.0,6,16,9.714285714285714,4.15187851918806,6,15,9.2,3.492849839314596,7,9,8.333333333333334,1.1547005383792515,0,2,0.2857142857142857,0.7559289460184545,0,0,0.0,0.0,0,0,0.0,0.0,9,28,14.428571428571429,7.2768386647211685,9,21,12.8,4.764451699828638,10,12,11.333333333333334,1.1547005383792515,0.14285714285714285,0.0,0.8571428571428571,0.14285714285714285,0.0,No Defense 
399.0,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,2,0.42857142857142855,0.7867957924694432,0,1,0.2,0.4472135954999579,0,0,0.0,0.0,0,8,4.285714285714286,2.9277002188455996,1,7,4.4,2.1908902300206643,4,5,4.666666666666667,0.5773502691896258,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,4,0.7142857142857143,1.4960264830861913,0,1,0.2,0.447213595499958,0,0,0.0,0.0,0,1,0.14285714285714285,0.37796447300922725,0,0,0.0,0.0,0,0,0.0,0.0,0,3,2.5714285714285716,1.1338934190276817,3,3,3.0,0.0,3,3,3.0,0.0,0,40,27.428571428571427,13.67305309550069,24,39,30.4,6.465291950097845,25,35,29.666666666666668,5.033222956847167,0,2,0.8571428571428571,1.0690449676496976,0,2,0.8,1.0954451150103321,0,2,0.6666666666666666,1.1547005383792517,5,45,30.857142857142858,13.434142714598147,27,44,33.2,6.833739825307955,28,35,31.666666666666668,3.511884584284246,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0,No Defense 
498.0,0.42857142857142855,0.0,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.0,0,1,0.2857142857142857,0.48795003647426666,0,1,0.2,0.447213595499958,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.2857142857142857,0.4879500364742666,0,1,0.2,0.447213595499958,0,0,0.0,0.0,0,2,0.7142857142857143,0.7559289460184545,0,1,0.6,0.5477225575051661,0,1,0.6666666666666666,0.5773502691896258,0,1,0.14285714285714285,0.37796447300922725,0,0,0.0,0.0,0,0,0.0,0.0,0,3,0.42857142857142855,1.1338934190276817,0,0,0.0,0.0,0,0,0.0,0.0,0,6,3.2857142857142856,2.0586634591635513,2,5,3.4,1.3416407864998738,2,4,3.3333333333333335,1.1547005383792515,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,3,0.42857142857142855,1.1338934190276817,0,0,0.0,0.0,0,0,0.0,0.0,3,10,5.0,2.7688746209726913,3,7,4.4,1.949358868961793,3,6,4.0,1.7320508075688772,0,32,20.0,11.874342087037917,12,32,21.6,8.502940667792526,14,27,21.333333333333332,6.658328118479393,0,12,6.285714285714286,4.535573676110727,2,12,6.4,3.5777087639996634,6,6,6.0,0.0,12,47,31.285714285714285,14.291189426989456,15,45,32.0,12.288205727444508,28,43,33.333333333333336,8.386497083606084,0.125,0.0,0.75,0.25,0.0,No Defense 
610.0,0.42857142857142855,0.0,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.5714285714285714,0.0,0.0,0.0,0.14285714285714285,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.2857142857142857,0.48795003647426666,0,1,0.2,0.447213595499958,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,4,1.4285714285714286,1.3972762620115438,0,2,1.2,0.8366600265340756,1,2,1.3333333333333333,0.5773502691896257,0,4,2.0,1.6329931618554518,0,3,2.0,1.4142135623730951,1,3,2.3333333333333335,1.1547005383792515,0,8,4.142857142857143,2.410295378065479,3,5,4.2,0.8366600265340756,4,5,4.333333333333333,0.5773502691896258,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,2,0.7142857142857143,0.7559289460184545,0,1,0.6,0.5477225575051661,0,1,0.6666666666666666,0.5773502691896258,0,7,2.4285714285714284,2.6367367999823097,0,4,2.0,1.8708286933869707,0,3,2.0,1.7320508075688772,0,44,33.0,15.481171359644161,30,44,37.4,5.727128425310542,33,40,37.666666666666664,4.041451884327381,0,2,1.1428571428571428,1.0690449676496976,0,2,1.2,1.0954451150103321,0,2,1.3333333333333333,1.1547005383792517,2,51,36.57142857142857,16.22608129788934,35,48,40.6,4.878524367060187,38,42,40.0,2.0,0.14285714285714285,0.0,0.7142857142857143,0.14285714285714285,0.14285714285714285,No Defense 
702.0,0.25,0.125,0.5,0.0,0.125,0.0,0.0,0.25,0.25,0.0,0.25,0.125,0.0,0.0,0.375,0.0,0.25,0.125,0.5,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.375,0.5175491695067657,0,1,0.3333333333333333,0.5163977794943223,0,1,0.25,0.5,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.5,0.5345224838248488,0,1,0.5,0.5477225575051661,0,1,0.5,0.5773502691896257,2,8,3.75,2.2519832529192065,2,6,3.3333333333333335,1.632993161855452,2,4,3.0,1.1547005383792515,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,3,1.25,1.0350983390135313,0,2,1.1666666666666667,0.752772652709081,1,2,1.25,0.5,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,3,1.25,1.0350983390135313,0,2,1.1666666666666667,0.752772652709081,1,2,1.25,0.5,0,10,4.875,4.421942042651783,0,10,4.833333333333333,4.167333280008532,3,10,4.75,3.5,14,40,25.75,10.660340385881549,14,38,25.333333333333332,9.521904571390467,20,36,25.0,7.393691004272944,0,12,3.75,5.175491695067657,0,12,3.0,4.516635916254486,0,2,1.5,1.0,23,52,34.375,12.011155529042872,26,48,33.333333333333336,10.614455552060438,26,46,31.5,9.678154093971983,0.0,0.0,0.875,0.125,0.0,No Defense 
988.0,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,3,1.7142857142857142,1.6035674514745464,0,3,1.8,1.6431676725154984,0,3,2.0,1.7320508075688772,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,12,3.142857142857143,3.9761191895520196,2,2,2.0,0.0,2,2,2.0,0.0,0,12,4.857142857142857,3.716116764786033,2,5,4.4,1.3416407864998738,5,5,5.0,0.0,0.1111111111111111,0.0,0.5555555555555556,0.1111111111111111,0.3333333333333333,No Defense 
991.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,3,0.7142857142857143,1.1126972805283737,0,1,0.4,0.5477225575051661,0,1,0.3333333333333333,0.5773502691896258,0,2,0.5714285714285714,0.7867957924694432,0,1,0.4,0.5477225575051661,0,1,0.3333333333333333,0.5773502691896258,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,18,4.285714285714286,6.676183683170242,0,6,2.4,3.286335345030997,0,6,2.0,3.4641016151377544,0,2,1.1428571428571428,1.0690449676496976,0,2,1.2,1.0954451150103321,0,2,1.3333333333333333,1.1547005383792517,0,20,5.428571428571429,7.367883976130073,0,8,3.6,4.098780306383839,0,8,3.3333333333333335,4.163331998932265,0.2857142857142857,0.14285714285714285,0.8571428571428571,0.0,0.14285714285714285,No Defense 
1159.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0,1,0.14285714285714285,0.37796447300922725,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,2,0.42857142857142855,0.7867957924694432,0,1,0.2,0.4472135954999579,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,3,3,3.0,0.0,3,3,3.0,0.0,3,3,3.0,0.0,0,4,0.8571428571428571,1.5735915849388864,0,2,0.4,0.8944271909999159,0,0,0.0,0.0,2,6,2.5714285714285716,1.511857892036909,2,2,2.0,0.0,2,2,2.0,0.0,5,9,6.428571428571429,1.9023794624226837,5,9,6.2,1.7888543819998317,5,7,5.666666666666667,1.1547005383792517,0.14285714285714285,0.0,0.8571428571428571,0.14285714285714285,0.0,No Defense 
1388.0,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.2857142857142857,0.48795003647426666,0,1,0.2,0.4472135954999579,0,0,0.0,0.0,0,4,1.1428571428571428,1.6761634196950517,0,3,0.8,1.3038404810405297,0,1,0.3333333333333333,0.5773502691896258,0,1,0.14285714285714285,0.37796447300922725,0,0,0.0,0.0,0,0,0.0,0.0,0,3,0.8571428571428571,1.2149857925879117,0,2,0.6,0.8944271909999159,0,1,0.3333333333333333,0.5773502691896258,2,8,4.714285714285714,2.138089935299395,3,6,4.6,1.51657508881031,3,6,4.666666666666667,1.5275252316519468,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.14285714285714285,0.37796447300922725,0,0,0.0,0.0,0,0,0.0,0.0,3,10,5.0,3.415650255319866,3,10,4.4,3.1304951684997055,3,3,3.0,0.0,12,44,29.714285714285715,11.672107574816778,18,42,30.4,8.61974477580398,29,33,30.666666666666668,2.081665999466133,0,12,5.142857142857143,5.0142653642240695,2,12,4.8,4.381780460041329,2,6,3.3333333333333335,2.3094010767585034,17,57,39.857142857142854,14.724453260122218,27,52,41.0,10.931605554537722,32,49,42.0,8.888194417315589,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0,No Defense 
