,_id,leftStartingZone,climb,__v,metadata.scouterName,metadata.matchNumber,metadata.robotTeam,metadata.robotPosition,startingZone.start1,startingZone.start2,startingZone.start3,pickupLocation.source1,pickupLocation.source2,pickupLocation.ground1,pickupLocation.ground2,pickupLocation.ground3,placement.deposit1,placement.deposit2,placement.deposit3,placement.deposit4,placement.deposit5,placement.deposit6,autoCoral.L1,autoCoral.L2,autoCoral.L3,autoCoral.L4,autoAlgae.netRobot,autoAlgae.processor,autoAlgae.remove,teleCoral.L1,teleCoral.L2,teleCoral.L3,teleCoral.L4,teleAlgae.netRobot,teleAlgae.processor,teleAlgae.remove
0,67c344ea114fd247353f8e0f,True,shallow,0,Kiinon2,1,3255.0,blue_1,True,False,False,False,False,True,True,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,67c344ea114fd247353f8e11,False,none,0,Kiinon2,2,9534.0,blue_1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,67c344ea114fd247353f8e15,True,park,0,Kiinon2,3,6885.0,blue_1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,67c344ea114fd247353f8e19,True,park,0,Kiinon2,4,5137.0,blue_1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,2,0,0,0
4,67c34e9b114fd247353f8e74,False,none,0,Carlos,1,610.0,red_3,True,False,False,True,False,False,False,False,False,False,False,False,False,True,0,1,0,0,0,0,0,0,1,4,5,0,0,2
5,67c34e9b114fd247353f8e78,False,deep,0,Carlos,2,702.0,red_3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,2,1,0,2
6,67c34e9b114fd247353f8e7b,True,none,0,Carlos,5,8768.0,red_3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,1,0,0,1,0,0,0
7,67c34e9b114fd247353f8e7d,False,park,0,Carlos,3,2102.0,red_3,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1,0,0,0,0,0,1,0,0,0,0,0,2,0
8,67c34e9b114fd247353f8e7f,True,none,0,Carlos,4,2839.0,red_3,False,False,True,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,3,0,0,0,0,0
9,67c34e9b114fd247353f8e81,False,none,0,Carlos,6,8015.0,red_3,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0,0,0,1,0,0,0,0,0,0,6,0,0,0
